time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-18T14:12:03.739Z,63.072,-151.4639,0,2.5,ml,,,,0.68,ak,ak021ddhsn21,2021-10-18T15:18:09.040Z,"53 km SSE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-18T14:00:23.630Z,17.9095,-66.8888,16,2.77,md,14,199,0.1666,0.14,pr,pr2021291007,2021-10-18T15:32:50.157Z,"7 km SSE of Guánica, Puerto Rico",earthquake,0.54,0.81,0.16,4,reviewed,pr,pr
2021-10-18T13:45:23.980Z,18.697,-68.0025,41,3.3,md,8,219,0.4208,0.8,pr,pr2021291006,2021-10-18T15:13:04.861Z,"44 km ENE of Punta Cana, Dominican Republic",earthquake,6.63,11.85,0.09,6,reviewed,pr,pr
2021-10-18T11:27:13.255Z,-24.0992,-67.3258,218.89,4.5,mb,,93,1.384,0.79,us,us6000fvm6,2021-10-18T11:43:40.040Z,"103 km W of San Antonio de los Cobres, Argentina",earthquake,8.5,8.3,0.18,13,reviewed,us,us
2021-10-18T11:16:00.247Z,12.2525,-88.0722,35,4.4,mb,,150,1.117,0.72,us,us6000fvm4,2021-10-18T12:16:26.739Z,"86 km SW of Jiquilillo, Nicaragua",earthquake,5.1,1.8,0.051,109,reviewed,us,us
2021-10-18T10:14:20.120Z,36.809166,-121.5461655,0.7,2.81,md,40,154,0.2873,0.19,nc,nc73641125,2021-10-18T17:05:27.120Z,"4km S of San Juan Bautista, CA",earthquake,0.59,2.25,0.11,41,automatic,nc,nc
2021-10-18T09:45:06.480Z,36.1858333,-120.3091667,10.36,3.44,ml,45,107,0.06493,0.08,nc,nc73641100,2021-10-19T09:47:32.245Z,"7km NE of Coalinga, CA",earthquake,0.22,0.28,0.192,87,reviewed,nc,nc
2021-10-18T09:42:15.640Z,36.1920013,-120.3143311,9.7,2.67,md,42,106,0.1065,0.14,nc,nc73641095,2021-10-18T11:22:59.040Z,"7km NE of Coalinga, CA",earthquake,0.3,0.55,0.17,49,automatic,nc,nc
2021-10-18T09:12:47.661Z,-28.4886,-62.8535,611.46,4.1,mb,,102,5.573,0.55,us,us6000fvli,2021-10-19T08:41:42.040Z,"3 km SSW of Añatuya, Argentina",earthquake,13.7,9.6,0.214,6,reviewed,us,us
2021-10-18T08:56:34.970Z,19.904,-156.8335,7.46,3.64,ml,66,194,,0.19,hv,hv72760877,2021-10-19T11:57:22.938Z,"91 km WNW of Kalaoa, Hawaii",earthquake,0.76,0.94,0.187074103452984,27,reviewed,hv,hv
2021-10-18T08:28:33.980Z,19.1568333333333,-155.501833333333,32.33,2.68,ml,53,122,,0.11,hv,hv72760832,2021-10-19T02:09:14.858Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.49,0.58,0.203838006848342,36,reviewed,hv,hv
2021-10-18T08:24:31.711Z,54.0003,158.6353,171.06,5.3,mww,,32,0.979,0.73,us,us6000fvl5,2021-10-18T14:04:18.040Z,"77 km S of Mil’kovo, Russia",earthquake,7.6,4.4,0.08,15,reviewed,us,us
